group,subj_idx,emotion_negative_negative,emotion_negative_positive,emotion_positive_negative,emotion_positive_positive,shape_negative_negative,shape_negative_positive,shape_positive_negative,shape_positive_positive
depression,56189087,1.5148300658457392,1.522625650243696,1.2154598687343316,1.9920390204340053,1.2953469990454,1.996765114193969,1.155247103216355,1.5715575694909758
depression,56277415,1.0676781355802665,1.9798105073563728,1.6240823688108017,1.9484040380739525,1.955922342955504,1.3085640146163071,1.80553971332484,1.9613817584464088
depression,56279808,1.836340985304969,1.8126399499863504,0.8473843147678296,1.5946882001389344,1.7819321333661522,1.6066102773987894,1.749748503697185,1.68534204450035
depression,56343776,1.008076785686303,1.596093345500445,1.706669150252354,1.2818978240047023,1.459750263124777,1.6865266648519477,1.793775142450426,1.717860237985191
depression,56346638,1.735868685111287,1.035037544080594,1.961893380565661,1.5653366805381388,1.716831078768266,1.0129778370001392,1.0758374673676965,1.1913058489904804
depression,56352066,1.8476517411861555,1.625435234301108,1.5522129214773914,1.7437116777442525,0.8736103205176322,1.7226834185382258,0.976623934305847,1.3417447230122137
depression,56354957,1.778685902470701,1.0675622184850868,1.9043158471111965,1.80651904734908,1.6087892596850255,1.6538514464199516,1.8604784837428687,0.8084082636054583
depression,56358294,0.7700568186549774,1.4261929395528965,1.85297178505767,1.137538648118864,1.9648000142731965,1.2181755959140252,1.135943698114484,1.59432625171794
depression,56362338,1.231671570672226,1.878456182386253,1.757028798755033,1.5866914855350516,1.1058860137006965,1.7428159254509532,1.7345456033532969,1.6072776121827743
depression,56365025,1.714929648687573,1.3016810538420835,1.0894674536301607,1.0750623431676405,1.9420820737593467,0.8884067519422588,1.6272026725196211,1.69334313284791
depression,56367536,1.291737565328558,1.5823853179421912,1.9068728054918107,1.7506085103015214,1.7414774210916042,1.271912612096463,0.8568610595443366,1.6986958231473417
normal,55763117,1.6250249780032948,0.8059847409470351,1.968755643623992,0.9183746954206607,1.5440760643327125,1.1447403498522757,1.5356645660410404,0.8154036429822022
normal,55766121,0.7073453546266922,1.234349919086124,1.3215009112207865,1.3979443405894003,1.5115284027337414,1.8161404751561905,1.6091485446107332,1.979572487934331
