subj_idx,induction,prime_valence,target_valence,v,sigma,a,x0,nondectime,n_trials,accuracy,group,error
55768880,shape,negative,negative,-5.664630351858123,1.404792759248669,5.613629403877501,0.03526730723114455,0.2616351896682356,28,1.0,normal,
55768880,shape,positive,positive,1.872162053814204,0.9441019906413438,5.35319048595917,0.6922598899575484,0.3779998127064128,28,1.0,normal,
55768880,shape,positive,negative,-3.7988741144655434,1.593967402592957,5.8161588684391985,-0.3491950127663076,0.38744454303225767,16,1.0,normal,
55768880,shape,negative,positive,4.756401062345812,0.8116475837415572,4.45730386370925,-0.1483541875706229,0.20017874807314667,19,1.0,normal,
55768880,emotion,positive,negative,-5.246309334753615,1.9175731265423033,4.835178891201216,-0.294091791998465,0.3958907995104609,27,1.0,normal,
55768880,emotion,positive,positive,3.1981385593419933,1.6638762192474612,4.0486023652960155,0.7194178805594825,0.43218979703015203,20,1.0,normal,
55768880,emotion,negative,positive,3.8847950441642585,1.47677850772443,3.5238147607943167,0.6707692259483847,0.49009878933267675,27,1.0,normal,
55768880,emotion,negative,negative,-3.4495955506807396,1.6035809693704268,2.148737197658604,-0.12927434590662892,0.4488504064174654,20,0.95,normal,
