subj_idx,induction,prime_valence,target_valence,v,sigma,a,x0,nondectime,n_trials,accuracy,group,error
55860282,shape,negative,positive,2.839506471195431,1.5955188083657776,3.27769148235014,0.7031796055544332,0.4306073221630734,24,1.0,normal,
55860282,shape,negative,negative,-3.303433926207826,1.0037564528369372,2.058302990233567,-0.3467347661216267,0.3406305239319708,23,1.0,normal,
55860282,shape,positive,positive,5.294737198502507,0.9335842920058859,2.5357554875565103,-0.25430682099385726,0.21920649063388611,23,1.0,normal,
55860282,shape,positive,negative,-5.5453745430273385,1.6244585365039135,1.8002915541160345,0.2058373192624854,0.3762483368647424,25,0.96,normal,
55860282,emotion,positive,negative,-5.698266062897586,0.7054218862819176,4.479998147016097,-0.15110184272418611,0.20124925624456425,24,1.0,normal,
55860282,emotion,negative,positive,2.295771738625589,1.4413910746364609,4.260000008571887,0.7785053195909214,0.4407830755581605,23,1.0,normal,
55860282,emotion,negative,negative,-5.431595209976022,1.7671655043795207,5.000700404480331,-0.6188459710793678,0.380369037891274,24,1.0,normal,
55860282,emotion,positive,positive,4.032095141246068,1.760836321525625,2.359999954482636,0.0875703739303946,0.31086648405798006,24,0.9583333333333334,normal,
