subj_idx,induction,prime_valence,target_valence,v,sigma,a,x0,nondectime,n_trials,accuracy,group,error
55866572,shape,positive,positive,7.999122656254968,1.6721305161151583,5.383093637499655,0.24654233688283128,0.27370052354166935,26,1.0,normal,
55866572,shape,negative,negative,-2.4271373439459833,0.8660483161727978,1.0845244763371444,0.18978155885802736,0.3787895013546432,26,0.9230769230769231,normal,
55866572,shape,positive,negative,-3.491195067153418,0.9709361121370863,3.261554190523361,-0.6104262496673548,0.37903577497750673,22,1.0,normal,
55866572,shape,negative,positive,4.877904414069581,1.7074216198619803,2.120000019140524,-0.19569067678337287,0.35401873626051017,22,0.9545454545454546,normal,
55866572,emotion,negative,negative,-4.697055204726925,1.2806566344048163,1.5133726896525075,0.2290775603232703,0.3703366027706042,24,0.9583333333333334,normal,
55866572,emotion,positive,negative,-3.437352522611221,0.6054053286779024,3.5999622058809253,-0.4395785493408317,0.22212096248875013,24,1.0,normal,
55866572,emotion,negative,positive,4.964236874168428,1.0602791241812166,1.9835200687996772,0.20415165059389187,0.3469048539497162,24,1.0,normal,
55866572,emotion,positive,positive,3.2209948284136427,1.7386313646590787,3.6788481064660847,0.6660825537451867,0.3926528329925957,24,1.0,normal,
