subj_idx,induction,prime_valence,target_valence,v,sigma,a,x0,nondectime,n_trials,accuracy,group,error
55928394,shape,positive,positive,2.1408558103609225,1.6904849135438855,2.9334821105436473,0.029823166177637386,0.24895169187075897,22,0.9090909090909091,normal,
55928394,shape,negative,negative,-2.952862576074262,1.6643939556848768,5.228844314818923,-0.6933219993534481,0.4657206439754099,22,1.0,normal,
55928394,shape,positive,negative,-6.600460508270136,1.5700500475246215,4.8351890423072845,0.1052629311105682,0.30856509054678194,26,1.0,normal,
55928394,shape,negative,positive,2.748068045053169,1.865217441435469,2.8329845317334437,0.2586516095573638,0.3692457563920097,26,0.9615384615384616,normal,
55928394,emotion,negative,negative,-2.763690412859118,1.1482732725532412,5.024282444907165,-0.6530192069683036,0.34250411193031416,21,1.0,normal,
55928394,emotion,positive,negative,-4.564034537789005,1.4144795061527367,3.541736255139126,-0.2150190926509473,0.3302486235883646,26,1.0,normal,
55928394,emotion,negative,positive,1.8963211536722702,0.6987708982741451,3.564010711168003,0.4898938603159337,0.20068797628634233,27,1.0,normal,
55928394,emotion,positive,positive,3.984888738390257,1.7743604150221284,3.234027268581778,-0.18245211897277946,0.2256686846412978,21,0.9523809523809523,normal,
